2026-03-22T00:14:14.684 | PROXY | LISTENING FOR CLIENT | listen=127.0.0.1:4000
2026-03-22T00:14:14.685 | PROXY | CONNECTED SERVER | target=127.0.0.1:5000
2026-03-22T00:36:46.402 | PROXY | LISTENING FOR CLIENT | listen=127.0.0.1:4000
2026-03-22T00:36:46.402 | PROXY | CONNECTED SERVER | target=127.0.0.1:5000
2026-03-22T00:37:29.968 | PROXY | RECEIVED PACKET | Received packet from client
2026-03-22T00:37:29.968 | PROXY | FORWARDING PACKET | Forwarding packet to server
2026-03-22T00:37:29.970 | PROXY | RECEIVED ACK | Received ack from server
2026-03-22T00:37:29.971 | PROXY | FORWARDING ACK | Forwarding ack to client
2026-03-22T00:37:29.971 | PROXY | RECEIVED PACKET | Received packet from client
2026-03-22T00:37:29.971 | PROXY | FORWARDING PACKET | Forwarding packet to server
2026-03-22T00:37:29.971 | PROXY | RECEIVED ACK | Received ack from server
2026-03-22T00:37:29.971 | PROXY | FORWARDING ACK | Forwarding ack to client
2026-03-22T00:37:29.972 | PROXY | RECEIVED PACKET | Received packet from client
2026-03-22T00:37:29.972 | PROXY | FORWARDING PACKET | Forwarding packet to server
2026-03-22T00:37:29.972 | PROXY | RECEIVED ACK | Received ack from server
2026-03-22T00:37:29.972 | PROXY | FORWARDING ACK | Forwarding ack to client
2026-03-22T00:37:29.972 | PROXY | RECEIVED PACKET | Received packet from client
2026-03-22T00:37:29.972 | PROXY | FORWARDING PACKET | Forwarding packet to server
2026-03-22T00:37:29.972 | PROXY | RECEIVED ACK | Received ack from server
2026-03-22T00:37:29.972 | PROXY | FORWARDING ACK | Forwarding ack to client
2026-03-22T00:37:29.972 | PROXY | RECEIVED PACKET | Received packet from client
2026-03-22T00:37:29.972 | PROXY | FORWARDING PACKET | Forwarding packet to server
2026-03-22T00:37:29.972 | PROXY | RECEIVED ACK | Received ack from server
2026-03-22T00:37:29.972 | PROXY | FORWARDING ACK | Forwarding ack to client
2026-03-22T01:14:05.728 | PROXY | LISTENING FOR CLIENT | listen=127.0.0.1:4000
2026-03-22T01:14:05.728 | PROXY | CONNECTED SERVER | target=127.0.0.1:5000
2026-03-22T01:14:22.437 | PROXY | LISTENING FOR CLIENT | listen=127.0.0.1:4000
2026-03-22T01:14:22.437 | PROXY | CONNECTED SERVER | target=127.0.0.1:5000
2026-03-22T01:14:26.413 | PROXY | RECEIVED PACKET | Received packet from client
2026-03-22T01:14:26.413 | PROXY | FORWARDING PACKET | Forwarding packet to server
2026-03-22T01:14:26.414 | PROXY | RECEIVED ACK | Received ack from server
2026-03-22T01:14:26.414 | PROXY | FORWARDING ACK | Forwarding ack to client
2026-03-22T01:14:26.414 | PROXY | RECEIVED PACKET | Received packet from client
2026-03-22T01:14:26.414 | PROXY | DROPPING PACKET | Dropping client packet
